"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Aberdeen, SD","10100",2011,122,104,18,0,0,0,0,70,54,25,0,0,0,117,5
"Aberdeen, WA","10140",2011,363,352,11,0,0,0,0,59,35,16,0,0,0,363,0
"Adjuntas, PR","10260",2011,14,13,1,0,0,0,0,53,15,10,0,0,0,14,0
"Adrian, MI","10300",2011,241,160,70,10,1,0,0,154,76,44,0,0,166,75,0
"Akron, OH","10420",2011,365,225,133,7,0,0,0,150,72,44,43,0,168,154,0
"Albany, GA","10500",2011,361,152,203,6,0,0,0,115,74,54,0,0,0,361,0
"Albany, OR","10540",2011,363,270,87,3,3,0,0,193,63,25,0,0,0,363,0
"Albany-Schenectady-Troy, NY","10580",2011,365,257,105,3,0,0,0,140,65,42,0,0,205,160,0
"Albuquerque, NM","10740",2011,365,73,264,25,2,1,0,293,100,63,0,3,182,137,43
"Alexandria, LA","10780",2011,283,95,187,1,0,0,0,102,70,55,0,0,0,283,0
"Allentown-Bethlehem-Easton, PA-NJ","10900",2011,365,161,190,11,3,0,0,154,85,54,0,13,101,249,2
"Altoona, PA","11020",2011,365,208,148,8,1,0,0,159,74,46,0,0,146,219,0
"Amarillo, TX","11100",2011,361,240,113,8,0,0,0,140,80,44,0,0,299,62,0
"Americus, GA","11140",2011,232,171,61,0,0,0,0,100,71,44,0,0,232,0,0
"Ames, IA","11180",2011,214,198,16,0,0,0,0,87,49,36,0,0,214,0,0
"Anchorage, AK","11260",2011,365,280,82,2,0,1,0,241,59,36,12,0,87,202,64
"Ann Arbor, MI","11460",2011,357,279,71,6,1,0,0,154,71,38,0,0,311,46,0
"Appleton, WI","11540",2011,303,235,64,4,0,0,0,119,63,39,0,0,170,133,0
"Ardmore, OK","11620",2011,333,153,143,34,3,0,0,177,105,52,0,0,210,123,0
"Arkadelphia, AR","11660",2011,270,249,21,0,0,0,0,100,49,35,0,0,270,0,0
"Asheville, NC","11700",2011,364,228,132,4,0,0,0,122,71,47,0,0,179,185,0
"Ashtabula, OH","11780",2011,211,153,50,7,1,0,0,154,84,42,0,0,211,0,0
"Athens, OH","11900",2011,347,285,58,4,0,0,0,115,61,31,0,119,191,37,0
"Athens, TN","11940",2011,358,357,1,0,0,0,0,51,32,17,0,309,0,0,49
"Athens-Clarke County, GA","12020",2011,365,212,139,14,0,0,0,126,81,48,0,0,160,205,0
"Atlanta-Sandy Springs-Roswell, GA","12060",2011,365,114,184,62,5,0,0,172,119,58,0,4,168,193,0
"Atlantic City-Hammonton, NJ","12100",2011,359,280,74,5,0,0,0,136,63,39,0,0,230,129,0
"Augusta-Richmond County, GA-SC","12260",2011,363,182,166,15,0,0,0,126,87,50,0,0,172,191,0
"Augusta-Waterville, ME","12300",2011,211,195,16,0,0,0,0,97,49,31,0,0,182,0,29
"Austin-Round Rock, TX","12420",2011,365,218,133,13,1,0,0,151,84,45,0,2,234,129,0
"Bakersfield, CA","12540",2011,365,65,160,100,40,0,0,200,151,84,0,1,216,141,7
"Baltimore-Columbia-Towson, MD","12580",2011,365,150,178,24,10,3,0,209,101,55,0,17,156,192,0
"Bangor, ME","12620",2011,365,321,44,0,0,0,0,80,54,35,0,0,244,121,0
"Baraboo, WI","12660",2011,284,240,44,0,0,0,0,91,54,38,0,0,209,74,1
"Barnstable Town, MA","12700",2011,275,253,19,3,0,0,0,112,46,35,0,0,227,48,0
"Baton Rouge, LA","12940",2011,365,119,206,34,6,0,0,192,101,57,0,4,142,219,0
"Bay City, MI","13020",2011,118,98,20,0,0,0,0,76,60,24,0,0,0,118,0
"Beaumont-Port Arthur, TX","13140",2011,365,217,117,27,4,0,0,185,90,45,0,0,219,146,0
"Beaver Dam, WI","13180",2011,365,258,101,6,0,0,0,115,67,42,0,0,206,159,0
"Beckley, WV","13220",2011,116,91,25,0,0,0,0,83,61,34,0,0,0,116,0
"Bellingham, WA","13380",2011,354,344,10,0,0,0,0,62,38,25,0,0,120,234,0
"Bend-Redmond, OR","13460",2011,365,323,38,3,1,0,0,170,51,32,0,0,126,239,0
"Bennington, VT","13540",2011,361,292,68,1,0,0,0,140,57,38,0,0,198,163,0
"Berlin, NH-VT","13620",2011,356,267,87,2,0,0,0,101,67,44,0,0,351,5,0
"Billings, MT","13740",2011,362,351,11,0,0,0,0,77,39,20,12,0,0,350,0
"Birmingham-Hoover, AL","13820",2011,365,118,209,32,6,0,0,182,101,58,2,0,120,227,16
"Bishop, CA","13860",2011,365,173,146,33,5,2,6,13276,105,51,0,0,280,33,52
"Bismarck, ND","13900",2011,365,334,31,0,0,0,0,74,49,37,0,5,293,65,2
"Blacksburg-Christiansburg-Radford, VA","13980",2011,325,264,60,1,0,0,0,101,64,42,0,0,325,0,0
"Bloomington, IL","14010",2011,359,311,46,2,0,0,0,147,58,34,0,0,359,0,0
"Bloomington, IN","14020",2011,334,190,135,8,1,0,0,159,74,46,0,0,112,222,0
"Boise City, ID","14260",2011,365,277,83,5,0,0,0,115,64,43,7,9,229,44,76
"Boone, NC","14380",2011,117,94,23,0,0,0,0,71,56,31,0,0,0,117,0
"Boston-Cambridge-Newton, MA-NH","14460",2011,365,183,175,6,1,0,0,151,74,50,0,17,113,235,0
"Boulder, CO","14500",2011,365,221,128,16,0,0,0,140,84,48,2,0,335,26,2
"Bowling Green, KY","14540",2011,365,220,141,4,0,0,0,108,74,46,0,0,242,123,0
"Bozeman, MT","14580",2011,365,280,84,1,0,0,0,103,57,35,0,6,0,359,0
"Brainerd, MN","14660",2011,350,300,48,2,0,0,0,112,55,36,0,0,175,175,0
"Branson, MO","14700",2011,283,213,65,5,0,0,0,126,61,44,0,0,222,61,0
"Breckenridge, CO","14720",2011,318,314,4,0,0,0,0,66,27,12,0,0,0,0,318
"Bremerton-Silverdale, WA","14740",2011,361,321,39,1,0,0,0,110,52,20,0,0,0,361,0
"Bridgeport-Stamford-Norwalk, CT","14860",2011,365,273,72,12,8,0,0,190,80,39,45,88,165,67,0
"Brookings, SD","15100",2011,365,338,26,1,0,0,0,104,49,37,0,0,312,41,12
"Brownsville-Harlingen, TX","15180",2011,365,249,115,1,0,0,0,104,68,43,1,0,116,248,0
"Brunswick, GA","15260",2011,266,219,46,1,0,0,0,108,58,40,0,0,209,46,11
"Buffalo-Cheektowaga-Niagara Falls, NY","15380",2011,365,213,145,7,0,0,0,150,74,48,0,10,157,198,0
"Burley, ID","15420",2011,193,165,28,0,0,0,0,74,51,45,0,0,193,0,0
"Burlington, NC","15500",2011,365,242,121,2,0,0,0,108,62,43,0,0,0,365,0
"Burlington-South Burlington, VT","15540",2011,365,294,69,2,0,0,0,105,57,38,1,3,232,129,0
"Butte-Silver Bow, MT","15580",2011,364,272,87,5,0,0,0,135,69,31,0,0,0,240,124
"Cadillac, MI","15620",2011,364,326,36,2,0,0,0,147,51,36,0,0,343,21,0
"Cambridge, MD","15700",2011,318,246,52,19,1,0,0,156,84,40,0,0,318,0,0
"Canton-Massillon, OH","15940",2011,365,169,184,10,2,0,0,154,79,52,0,0,114,251,0
"Cape Coral-Fort Myers, FL","15980",2011,365,308,57,0,0,0,0,90,54,38,0,0,237,128,0
"Carlsbad-Artesia, NM","16100",2011,365,224,134,7,0,0,0,119,84,46,0,0,343,22,0
"Carson City, NV","16180",2011,195,152,43,0,0,0,0,97,61,44,0,0,195,0,0
"Casper, WY","16220",2011,212,180,32,0,0,0,0,77,55,30,0,44,86,71,11
"Ca¤on City, CO","15860",2011,57,55,2,0,0,0,0,59,27,15,0,0,0,0,57
"Cedar Rapids, IA","16300",2011,365,222,143,0,0,0,0,100,67,45,0,0,135,229,1
"Centralia, WA","16500",2011,364,344,20,0,0,0,0,75,44,21,0,0,0,364,0
"Chambersburg-Waynesboro, PA","16540",2011,180,150,29,1,0,0,0,112,64,41,0,0,180,0,0
"Champaign-Urbana, IL","16580",2011,348,273,68,6,1,0,0,156,64,39,0,0,301,47,0
"Charleston, WV","16620",2011,361,259,91,8,3,0,0,164,69,38,0,0,163,95,103
"Charleston-North Charleston, SC","16700",2011,365,221,140,3,1,0,0,153,69,46,0,5,133,227,0
"Charlotte-Concord-Gastonia, NC-SC","16740",2011,365,153,167,37,8,0,0,169,105,54,0,4,206,155,0
"Charlottesville, VA","16820",2011,364,278,85,1,0,0,0,105,61,40,0,0,149,215,0
"Chattanooga, TN-GA","16860",2011,359,134,215,10,0,0,0,129,80,56,0,0,124,235,0
"Cheyenne, WY","16940",2011,365,265,99,1,0,0,0,101,67,44,1,5,332,27,0
"Chicago-Naperville-Elgin, IL-IN-WI","16980",2011,365,79,262,15,9,0,0,177,93,62,0,27,74,251,13
"Chico, CA","17020",2011,365,149,192,24,0,0,0,149,90,55,0,0,180,185,0
"Cincinnati, OH-KY-IN","17140",2011,365,128,200,30,7,0,0,179,105,57,0,1,143,221,0
"Claremont-Lebanon, NH-VT","17200",2011,365,298,67,0,0,0,0,92,55,38,0,0,241,124,0
"Clarksburg, WV","17220",2011,83,69,14,0,0,0,0,77,59,38,0,0,0,83,0
"Clarksville, TN-KY","17300",2011,355,231,122,2,0,0,0,112,74,45,0,0,293,62,0
"Clearlake, CA","17340",2011,365,359,6,0,0,0,0,54,44,34,0,0,364,1,0
"Cleveland, MS","17380",2011,341,212,123,6,0,0,0,122,66,46,0,0,134,207,0
"Cleveland, TN","17420",2011,362,362,0,0,0,0,0,40,21,13,0,311,0,0,51
"Cleveland-Elyria, OH","17460",2011,365,105,231,25,4,0,0,161,93,60,2,8,80,265,10
"Clinton, IA","17540",2011,365,147,218,0,0,0,0,100,76,55,0,0,54,311,0
"Coeur d'Alene, ID","17660",2011,181,169,12,0,0,0,0,67,49,41,0,0,181,0,0
"Colorado Springs, CO","17820",2011,365,227,128,10,0,0,0,143,84,47,0,0,358,7,0
"Columbia, MO","17860",2011,245,200,42,3,0,0,0,112,61,43,0,0,245,0,0
"Columbia, SC","17900",2011,365,158,186,21,0,0,0,150,90,52,0,4,160,197,4
"Columbus, GA-AL","17980",2011,365,190,170,5,0,0,0,126,80,49,0,0,107,258,0
"Columbus, OH","18140",2011,365,186,158,17,4,0,0,156,80,50,0,0,127,237,1
"Concord, NH","18180",2011,242,205,37,0,0,0,0,93,58,36,0,0,161,81,0
"Coos Bay, OR","18300",2011,45,44,1,0,0,0,0,53,36,24,0,0,0,45,0
"Corning, NY","18500",2011,360,312,46,1,1,0,0,157,54,40,7,3,312,38,0
"Corpus Christi, TX","18580",2011,365,264,90,10,1,0,0,154,69,40,0,0,222,139,4
"Corsicana, TX","18620",2011,365,211,141,13,0,0,0,147,80,46,0,6,224,135,0
"Corvallis, OR","18700",2011,361,323,38,0,0,0,0,85,52,15,0,0,0,361,0
"Craig, CO","18780",2011,135,119,16,0,0,0,0,84,54,40,0,0,135,0,0
"Crescent City, CA","18860",2011,120,119,1,0,0,0,0,54,30,13,0,0,0,83,37
"Crestview-Fort Walton Beach-Destin, FL","18880",2011,363,322,39,2,0,0,0,112,51,35,0,0,363,0,0
"Cullowhee, NC","19000",2011,265,156,105,4,0,0,0,126,74,48,0,0,199,66,0
"Dallas-Fort Worth-Arlington, TX","19100",2011,365,134,165,46,20,0,0,195,119,58,0,24,205,134,2
"Dalton, GA","19140",2011,267,174,86,7,0,0,0,133,77,45,0,0,223,44,0
"Daphne-Fairhope-Foley, AL","19300",2011,282,204,69,9,0,0,0,126,74,42,0,0,209,73,0
"Davenport-Moline-Rock Island, IA-IL","19340",2011,365,127,237,1,0,0,0,105,77,54,0,0,69,221,75
"Dayton, OH","19380",2011,365,166,178,20,1,0,0,172,87,52,0,0,164,201,0
"Decatur, AL","19460",2011,280,192,86,2,0,0,0,115,76,44,0,0,203,77,0
"Decatur, IL","19500",2011,365,215,145,4,1,0,0,161,67,48,0,0,136,229,0
"Deltona-Daytona Beach-Ormond Beach, FL","19660",2011,365,283,80,1,1,0,0,153,58,40,0,0,236,129,0
"Deming, NM","19700",2011,365,299,57,5,1,0,3,610,58,41,0,16,291,0,58
"Denver-Aurora-Lakewood, CO","19740",2011,365,103,205,51,6,0,0,197,108,63,0,72,245,35,13
"Des Moines-West Des Moines, IA","19780",2011,365,249,116,0,0,0,0,98,64,44,0,5,121,238,1
"Detroit-Warren-Dearborn, MI","19820",2011,365,186,158,18,3,0,0,159,86,49,0,24,107,230,4
"Dickinson, ND","19860",2011,323,311,12,0,0,0,0,64,47,39,0,0,300,23,0
"Dodge City, KS","19980",2011,350,344,6,0,0,0,0,63,34,14,0,0,0,0,350
"Dothan, AL","20020",2011,283,207,76,0,0,0,0,100,67,44,0,0,207,76,0
"Douglas, GA","20060",2011,59,37,22,0,0,0,0,92,64,40,0,0,0,59,0
"Dover, DE","20100",2011,365,293,67,3,2,0,0,172,64,40,0,0,319,46,0
"DuBois, PA","20180",2011,291,248,37,6,0,0,0,143,61,39,0,0,291,0,0
"Duluth, MN-WI","20260",2011,365,301,63,1,0,0,0,101,57,39,0,0,275,85,5
"Durango, CO","20420",2011,365,211,144,10,0,0,0,150,84,48,0,11,352,2,0
"Durham-Chapel Hill, NC","20500",2011,365,243,115,7,0,0,0,143,77,44,0,0,161,204,0
"Eagle Pass, TX","20580",2011,334,253,80,1,0,0,0,136,63,35,0,0,0,334,0
"East Stroudsburg, PA","20700",2011,359,306,53,0,0,0,0,84,56,36,0,0,239,120,0
"Eau Claire, WI","20740",2011,227,201,26,0,0,0,0,100,53,38,0,0,192,32,3
"Effingham, IL","20820",2011,211,175,35,1,0,0,0,108,64,43,0,0,211,0,0
"El Centro, CA","20940",2011,365,192,140,32,1,0,0,164,93,49,8,61,233,56,7
"El Dorado, AR","20980",2011,116,67,49,0,0,0,0,87,62,45,0,0,0,116,0
"El Paso, TX","21340",2011,365,99,246,17,3,0,0,186,93,60,0,23,140,187,15
"Elizabethtown-Fort Knox, KY","21060",2011,339,244,94,1,0,0,0,112,71,43,0,0,187,152,0
"Elkhart-Goshen, IN","21140",2011,353,180,167,6,0,0,0,147,74,50,0,0,80,273,0
"Elko, NV","21220",2011,326,317,9,0,0,0,0,85,40,19,0,0,0,34,292
"Ellensburg, WA","21260",2011,354,302,45,6,1,0,0,152,57,18,0,0,0,354,0
"Elmira, NY","21300",2011,347,312,34,1,0,0,0,105,51,36,0,0,347,0,0
"Emporia, KS","21380",2011,117,98,19,0,0,0,0,94,56,26,0,0,0,117,0
"Erie, PA","21500",2011,365,219,142,4,0,0,0,136,69,44,0,11,122,232,0
"Espa¤ola, NM","21580",2011,112,108,4,0,0,0,0,84,25,9,0,0,0,112,0
"Eugene, OR","21660",2011,365,245,104,15,1,0,0,151,78,39,0,0,124,241,0
"Eureka-Arcata-Fortuna, CA","21700",2011,365,306,59,0,0,0,0,78,55,35,3,4,214,142,2
"Evanston, WY","21740",2011,365,322,43,0,0,0,0,90,51,43,0,0,359,0,6
"Evansville, IN-KY","21780",2011,365,177,173,14,1,0,0,159,84,51,29,4,157,175,0
"Fairbanks, AK","21820",2011,365,211,122,27,5,0,0,161,95,38,0,0,33,294,38
"Fairmont, WV","21900",2011,121,77,44,0,0,0,0,92,64,42,0,0,0,121,0
"Fallon, NV","21980",2011,210,208,2,0,0,0,0,77,45,33,0,0,210,0,0
"Fargo, ND-MN","22020",2011,350,300,50,0,0,0,0,75,55,36,2,6,178,142,22
"Farmington, NM","22140",2011,365,235,117,13,0,0,0,143,80,46,0,32,323,8,2
"Fayetteville, NC","22180",2011,365,207,148,10,0,0,0,143,80,48,0,0,157,208,0
"Fayetteville-Springdale-Rogers, AR-MO","22220",2011,365,259,101,5,0,0,0,140,71,43,0,0,301,64,0
"Fernley, NV","22280",2011,198,159,35,4,0,0,0,133,61,44,0,0,198,0,0
"Findlay, OH","22300",2011,15,15,0,0,0,0,0,43,39,21,0,0,0,0,15
"Flagstaff, AZ","22380",2011,365,229,126,10,0,0,0,129,77,47,0,0,337,13,15
"Flint, MI","22420",2011,242,177,57,8,0,0,0,150,69,41,0,0,177,65,0
"Florence, SC","22500",2011,292,178,111,3,0,0,0,122,74,46,0,0,224,68,0
"Florence-Muscle Shoals, AL","22520",2011,279,214,64,1,0,0,0,101,61,42,0,0,197,82,0
"Fond du Lac, WI","22540",2011,198,176,15,7,0,0,0,140,54,40,0,0,198,0,0
"Fort Collins, CO","22660",2011,365,149,183,32,1,0,0,151,100,58,0,0,360,5,0
"Fort Madison-Keokuk, IA-IL-MO","22800",2011,117,72,45,0,0,0,0,81,68,40,0,0,0,117,0
"Fort Payne, AL","22840",2011,336,257,78,1,0,0,0,101,63,40,0,0,271,65,0
"Fort Smith, AR-OK","22900",2011,361,250,103,8,0,0,0,119,71,43,0,43,234,66,18
"Fort Wayne, IN","23060",2011,364,177,179,8,0,0,0,122,75,51,0,0,109,255,0
"Frankfort, KY","23180",2011,100,67,33,0,0,0,0,98,62,42,0,0,0,100,0
"Fredericksburg, TX","23240",2011,183,134,45,4,0,0,0,115,74,44,0,0,183,0,0
"Fresno, CA","23420",2011,365,68,174,83,40,0,0,197,152,80,0,0,192,173,0
"Gadsden, AL","23460",2011,275,208,67,0,0,0,0,99,62,41,0,0,188,87,0
"Gaffney, SC","23500",2011,259,182,69,7,1,0,0,159,74,46,0,0,259,0,0
"Gainesville, FL","23540",2011,356,252,102,2,0,0,0,109,62,41,0,0,184,172,0
"Gainesville, GA","23580",2011,351,169,182,0,0,0,0,99,70,52,0,0,0,351,0
"Gallup, NM","23700",2011,280,280,0,0,0,0,0,47,24,14,0,0,0,0,280
"Gardnerville Ranchos, NV","23820",2011,341,337,4,0,0,0,0,61,17,10,335,0,0,6,0
"Georgetown, SC","23860",2011,365,348,17,0,0,0,0,79,38,20,0,0,0,0,365
"Gettysburg, PA","23900",2011,362,192,165,5,0,0,0,140,72,48,1,1,154,206,0
"Gillette, WY","23940",2011,365,204,156,4,1,0,0,164,73,48,0,3,198,19,145
"Glenwood Springs, CO","24060",2011,365,119,214,32,0,0,0,133,100,61,0,0,365,0,0
"Goldsboro, NC","24140",2011,346,237,107,1,1,0,0,154,60,39,0,0,0,346,0
"Grand Island, NE","24260",2011,119,106,13,0,0,0,0,66,52,28,0,0,0,119,0
"Grand Junction, CO","24300",2011,365,203,152,10,0,0,0,119,80,49,0,0,334,19,12
"Grand Rapids-Wyoming, MI","24340",2011,365,257,100,5,3,0,0,156,69,41,0,0,203,162,0
"Grants Pass, OR","24420",2011,365,303,61,1,0,0,0,106,60,21,0,0,0,365,0
"Great Falls, MT","24500",2011,347,287,60,0,0,0,0,82,54,33,13,0,0,334,0
"Greeley, CO","24540",2011,365,216,137,12,0,0,0,136,84,46,12,0,322,30,1
"Green Bay, WI","24580",2011,364,189,167,7,1,0,0,195,80,49,0,0,108,256,0
"Greensboro-High Point, NC","24660",2011,361,213,137,11,0,0,0,140,84,47,0,0,175,186,0
"Greenville, NC","24780",2011,259,174,78,7,0,0,0,136,87,44,0,0,199,60,0
"Greenville-Anderson-Mauldin, SC","24860",2011,365,168,179,18,0,0,0,150,87,52,0,11,180,174,0
"Greenwood, SC","24940",2011,243,223,20,0,0,0,0,87,50,40,0,0,243,0,0
"Grenada, MS","24980",2011,106,81,25,0,0,0,0,75,55,35,0,0,0,106,0
"Guayama, PR","25020",2011,112,107,5,0,0,0,0,57,42,19,0,0,0,38,74
"Gulfport-Biloxi-Pascagoula, MS","25060",2011,365,243,111,11,0,0,0,129,77,45,0,6,140,219,0
"Hagerstown-Martinsburg, MD-WV","25180",2011,354,203,145,6,0,0,0,147,77,48,0,0,122,232,0
"Hammond, LA","25220",2011,121,89,32,0,0,0,0,86,56,35,0,0,0,121,0
"Hanford-Corcoran, CA","25260",2011,365,109,174,67,15,0,0,185,129,71,0,0,200,159,6
"Harrisburg-Carlisle, PA","25420",2011,365,154,195,16,0,0,0,150,84,55,0,8,120,236,1
"Harrison, AR","25460",2011,365,285,78,2,0,0,0,108,64,41,0,0,329,36,0
"Harrisonburg, VA","25500",2011,365,297,66,2,0,0,0,112,61,36,0,114,190,61,0
"Hartford-West Hartford-East Hartford, CT","25540",2011,365,266,90,5,4,0,0,166,69,42,10,55,155,145,0
"Hattiesburg, MS","25620",2011,298,167,131,0,0,0,0,89,64,47,0,0,0,298,0
"Helena, MT","25740",2011,365,298,65,2,0,0,0,115,56,43,0,0,255,110,0
"Helena-West Helena, AR","25760",2011,119,85,34,0,0,0,0,83,63,42,0,0,0,119,0
"Hermiston-Pendleton, OR","25840",2011,362,296,65,1,0,0,0,104,63,36,0,0,147,215,0
"Hickory-Lenoir-Morganton, NC","25860",2011,365,206,156,3,0,0,0,105,67,48,0,0,135,230,0
"Hilo, HI","25900",2011,365,159,206,0,0,0,0,83,64,52,0,0,0,365,0
"Hobbs, NM","26020",2011,360,257,96,7,0,0,0,120,71,43,0,23,261,73,3
"Holland, MI","26090",2011,242,181,52,6,3,0,0,179,77,40,0,0,177,65,0
"Homosassa Springs, FL","26140",2011,116,110,6,0,0,0,0,84,45,27,0,0,0,116,0
"Hot Springs, AR","26300",2011,122,79,43,0,0,0,0,83,62,45,0,0,0,122,0
"Houghton, MI","26340",2011,121,118,3,0,0,0,0,87,35,13,0,0,0,121,0
"Houma-Thibodaux, LA","26380",2011,365,286,73,6,0,0,0,133,67,40,0,0,250,115,0
"Houston-The Woodlands-Sugar Land, TX","26420",2011,365,106,202,44,11,2,0,207,122,57,0,15,139,198,13
"Huntington, IN","26540",2011,183,151,30,2,0,0,0,115,64,43,0,0,183,0,0
"Huntington-Ashland, WV-KY-OH","26580",2011,365,179,171,14,1,0,0,151,84,51,0,4,83,276,2
"Huntsville, AL","26620",2011,331,222,105,4,0,0,0,126,77,44,0,0,202,76,53
"Idaho Falls, ID","26820",2011,363,298,65,0,0,0,0,93,58,45,0,0,360,3,0
"Indiana, PA","26860",2011,306,255,44,7,0,0,0,140,64,39,0,0,306,0,0
"Indianapolis-Carmel-Anderson, IN","26900",2011,365,68,267,29,1,0,0,159,93,61,0,0,67,298,0
"Iowa City, IA","26980",2011,364,189,175,0,0,0,0,96,71,49,0,0,0,361,3
"Ithaca, NY","27060",2011,289,269,20,0,0,0,0,90,49,35,0,0,289,0,0
"Jackson, MS","27140",2011,365,154,204,7,0,0,0,150,72,53,0,0,97,268,0
"Jackson, TN","27180",2011,54,54,0,0,0,0,0,33,23,14,0,0,0,0,54
"Jackson, WY-ID","27220",2011,365,275,90,0,0,0,0,90,64,44,5,0,349,10,1
"Jacksonville, FL","27260",2011,365,264,90,8,3,0,0,176,71,42,2,1,280,82,0
"Jamestown-Dunkirk-Fredonia, NY","27460",2011,365,299,60,5,1,0,0,159,64,39,0,0,347,18,0
"Janesville-Beloit, WI","27500",2011,192,152,37,3,0,0,0,108,74,41,0,0,192,0,0
"Jasper, IN","27540",2011,119,63,55,1,0,0,0,109,71,49,0,0,0,119,0
"Jefferson City, MO","27620",2011,245,205,40,0,0,0,0,100,58,43,0,0,245,0,0
"Johnstown, PA","27780",2011,361,188,167,6,0,0,0,122,77,49,0,15,109,236,1
"Joplin, MO","27900",2011,365,237,107,18,3,0,0,172,90,43,0,0,211,0,154
"Juneau, AK","27940",2011,353,299,54,0,0,0,0,88,57,23,0,0,0,344,9
"Kahului-Wailuku-Lahaina, HI","27980",2011,320,311,9,0,0,0,0,60,40,22,0,0,0,320,0
"Kalamazoo-Portage, MI","28020",2011,231,166,57,8,0,0,0,133,68,41,0,0,152,79,0
"Kalispell, MT","28060",2011,365,273,92,0,0,0,0,88,61,42,0,0,213,148,4
"Kansas City, MO-KS","28140",2011,365,137,191,33,4,0,0,172,101,56,0,12,174,178,1
"Kapaa, HI","28180",2011,274,268,6,0,0,0,0,59,35,18,5,53,0,216,0
"Keene, NH","28300",2011,365,251,110,4,0,0,0,134,73,42,0,0,207,158,0
"Kennewick-Richland, WA","28420",2011,363,323,39,1,0,0,0,102,52,22,0,0,0,303,60
"Killeen-Temple, TX","28660",2011,362,279,71,12,0,0,0,136,77,42,0,0,362,0,0
"Kingsport-Bristol-Bristol, TN-VA","28700",2011,365,275,84,6,0,0,0,126,71,42,2,105,211,47,0
"Kingston, NY","28740",2011,360,330,26,4,0,0,0,122,50,38,0,0,360,0,0
"Kingsville, TX","28780",2011,237,167,69,1,0,0,0,109,61,41,0,0,0,237,0
"Kinston, NC","28820",2011,259,185,69,4,1,0,0,159,74,44,0,0,189,70,0
"Klamath Falls, OR","28900",2011,360,249,97,14,0,0,0,130,80,27,0,0,0,359,1
"Knoxville, TN","28940",2011,365,96,229,38,2,0,0,163,101,59,0,0,188,163,14
"Kokomo, IN","29020",2011,110,64,46,0,0,0,0,83,67,44,0,0,0,110,0
"La Crosse-Onalaska, WI-MN","29100",2011,316,229,87,0,0,0,0,100,64,40,0,0,176,140,0
"La Grande, OR","29260",2011,363,296,62,4,1,0,0,152,58,22,0,0,0,360,3
"Laconia, NH","29060",2011,211,196,15,0,0,0,0,93,48,33,0,0,175,36,0
"Lafayette, LA","29180",2011,365,203,157,5,0,0,0,133,71,47,0,0,152,212,1
"Lafayette-West Lafayette, IN","29200",2011,357,182,173,2,0,0,0,122,73,50,0,0,70,287,0
"Lake Charles, LA","29340",2011,365,247,109,9,0,0,0,133,74,44,0,2,214,149,0
"Lake City, FL","29380",2011,365,250,114,1,0,0,0,112,64,43,0,0,166,199,0
"Lake Havasu City-Kingman, AZ","29420",2011,108,107,1,0,0,0,0,89,28,15,0,0,0,73,35
"Lakeland-Winter Haven, FL","29460",2011,362,270,89,2,1,0,0,151,63,41,0,0,224,138,0
"Lancaster, PA","29540",2011,365,152,193,17,3,0,0,161,90,55,0,10,117,238,0
